column,ratio,action,converted,total,before_dtype,after_dtype
Churn,0.0,skip_no_conversion,0,7043,string,string
Contract,0.0,skip_no_conversion,0,7043,string,string
Dependents,0.0,skip_no_conversion,0,7043,string,string
DeviceProtection,0.0,skip_no_conversion,0,7043,string,string
InternetService,0.0,skip_no_conversion,0,7043,string,string
MultipleLines,0.0,skip_no_conversion,0,7043,string,string
OnlineBackup,0.0,skip_no_conversion,0,7043,string,string
OnlineSecurity,0.0,skip_no_conversion,0,7043,string,string
PaperlessBilling,0.0,skip_no_conversion,0,7043,string,string
Partner,0.0,skip_no_conversion,0,7043,string,string
PaymentMethod,0.0,skip_no_conversion,0,7043,string,string
PhoneService,0.0,skip_no_conversion,0,7043,string,string
StreamingMovies,0.0,skip_no_conversion,0,7043,string,string
StreamingTV,0.0,skip_no_conversion,0,7043,string,string
TechSupport,0.0,skip_no_conversion,0,7043,string,string
gender,0.0,skip_no_conversion,0,7043,string,string
TotalCharges,1.0,inplace_convert,7032,7032,string,float64
